company,sector,subsector,round,amount_m,valuation_m,lead_investors,other_investors,date,location,quarter,year,robotnik_notes,source
AheadComputing,Semiconductors,Fabless Design,Seed,21.5,,Eclipse,"Maverick Capital, Fundomo, EPIQ Capital Group, Jim Keller (Tenstorrent CEO)",2025-02-19,USA,1Q25,2025,"RISC-V application processor startup founded by ex-Intel CPU architects. Targeting breakthrough per-core performance for AI, cloud, and edge. Grew from 4 to 40 employees in 5 months.",https://siliconangle.com/2025/02/19/risc-v-chip-startup-aheadcomputing-raises-21-5m-fix-cpu-bottlenecks/
Puzhao Materials,Semiconductors,Equipment,Series B,102,,,,2025-02-20,China,1Q25,2025,Photomasks for IC printing; China domestic chip supply push,https://globalventuring.com/corporate/asia/february-2025-data-china-ai-chips/
Quantum Machines,Semiconductors,Frontier Compute,Series C,170,700,PSG Equity,"Intel Capital, Red Dot Capital Partners",2025-02-25,Israel (Tel Aviv),1Q25,2025,Provides quantum control hardware/software used by more than half of all quantum computing companies worldwide. Scaling quantum computers to tens of thousands of qubits.,https://techcrunch.com/2025/02/25/quantum-machines-raises-170m-says-its-working-with-more-than-half-of-all-quantum-computing-companies/
Tokamak Energy,Materials,Structural Materials,Other,125,,Undisclosed,,2025-03-01,UK (Oxford),1Q25,2025,HTS tokamak design; compact spherical tokamak advancing; DOE Milestone Program.,https://fusionindustryassociation.org
Viam,Robotics,Software & Simulation,Series C,30,,Union Square Ventures,"Battery Ventures, Neurone",2025-03-03,"USA (New York, NY)",1Q25,2025,"Cloud-based platform for building, monitoring, managing smart machines and robots; MongoDB co-founder; total raised $117M",https://fortune.com/2025/03/03/mongodb-viam-union-square-ventures-albert-wenger-ai-robotics/
Epirus,Robotics,Autonomous Systems & Drones,Series D,250,1800,"8VC, Washington Harbour Partners","General Dynamics Land Systems, StepStone, T. Rowe Price, NightDragon, Manhattan Venture Partners",2025-03-05,"USA (Torrance, CA)",1Q25,2025,High-power microwave Leonidas counter-drone/counter-electronics system; total raised >$550M,https://www.axios.com/2025/03/05/epirus-directed-energy-drone-funding
Shield AI,Robotics,Autonomous Systems & Drones,Series F,240,5300,"L3Harris, Hanwha Aerospace","a16z, US Innovative Technology Fund, Washington Harbour",2025-03-06,"USA (San Diego, CA)",1Q25,2025,Hivemind AI autonomy software for drones/aircraft; GPS-denied environments. Note: also has Mar-26 Series G entry.,https://techcrunch.com/2025/03/06/shield-ai-raises-240-million/
Distalmotion,Robotics,Surgical & Medical,Series G,150,,Multiple,,2025-03-10,Switzerland,1Q25,2025,"Dexter surgical robot designed for cost-effective minimally invasive surgery, competing with ISRG.",https://distalmotion.com
Celestial AI,Semiconductors,Fabless Design,Series C,250,2500,Fidelity Management & Research,"BlackRock, Tiger Global, Maverick Silicon, Lip-Bu Tan, AMD Ventures, Koch Disruptive, Temasek, Xora, Porsche SE, The Engine Ventures",2025-03-11,"USA (Santa Clara, CA)",1Q25,2025,Photonic Fabric optical interconnect for AI data centers; total raised >$515M,https://siliconangle.com/2025/03/11/celestial-ai-raises-250m-optical-interconnect-technology/
ATLANT 3D,Semiconductors,Equipment,Series A,15,,West Hill Capital,Existing investors,2025-03-11,Denmark (Copenhagen),1Q25,2025,"Direct Atomic Layer Processing (DALP) for semiconductors, quantum, optics; deployed by NASA, ESA; partners STMicroelectronics, Sony; total $32.6M",https://www.prnewswire.com/news-releases/atlant-3d-secures-15-m-series-a-302398320.html
Lila Sciences,Robotics,Silicon & Substrates,Seed,200,,"Flagship Pioneering, General Catalyst","March Capital, ARK Venture Fund, Altitude Life Science Ventures, Abu Dhabi Investment Authority",2025-03-15,"USA (Cambridge, MA)",1Q25,2025,AI Science Factories combining foundation models + lab robots for materials science; one of largest seed rounds in history. Note: also has Oct-25 Series A extension entry.,https://www.alleywatch.com/2025/04/us-startup-funding-top-largest-march-2025-vc/
Agtonomy,Robotics,Software & Simulation,Series A,38,,Huron River Ventures,,2025-03-20,USA,1Q25,2025,Autonomous tractor platform providing retrofit autonomy for existing agricultural equipment.,https://agtonomy.com
Marvel Fusion,Materials,Structural Materials,Series B Extension,55,,"EQT Ventures, Siemens Energy",,2025-03-27,Germany (Munich),1Q25,2025,Laser-driven fusion; building $150M facility with Colorado State University.,https://tech.eu
Agility Robotics,Robotics,Humanoid & Service Robots,Series C,400,2120,WP Global,"SoftBank, Amazon Industrial Innovation Fund, DCVC, Playground Global, NVentures, Sony Innovation Fund, Schaeffler, TDK Ventures, Safar Partners",2025-03-31,"USA (Salem, OR)",1Q25,2025,"Digit bipedal warehouse humanoid; RoboFab manufacturing targeting 10,000 robots/year; deployed in Amazon warehouses",https://techstartups.com/2025/03/31/agility-robotics-raises-400m/
CMR Surgical,Robotics,Surgical & Medical Robots,Undisclosed,200,3000,Trinity Capital (debt),All existing major investors,2025-04-02,UK (Cambridge),2Q25,2025,Versius soft-tissue surgical robot; $1.4B total raised; US market entry focus,https://www.globenewswire.com/news-release/2025/04/02/3054116/0/en/CMR-Surgical-secures-more-than-200M.html
Aetherflux,Space,Space Components,Series A,50,,"Index Ventures, Interlagos",,2025-04-02,"USA (San Carlos, CA)",2Q25,2025,Space solar power startup aiming to beam energy from LEO to ground stations.,https://techcrunch.com
Portal Space Systems,Space,Launch,Seed,17.5,,AlleyCorp,"Mach33, FUSE, First In, TFX, Offline Ventures, Atypical",2025-04-03,"USA (Bothell, WA)",2Q25,2025,Supernova solar thermal propulsion spacecraft; SpaceX Raptor architect as CTO; $45M STRATFI commitment,https://spacenews.com/portal-space-systems-raises-17-5-million/
RoboForce,Robotics,Industrial Robots,Seed,12,,Multiple,,2025-04-10,USA,2Q25,2025,Force-controlled industrial robots for contact-rich assembly tasks in manufacturing.,https://techcrunch.com
Blue Water Autonomy,Robotics,Autonomous Systems & Drones,Seed,14,,"Eclipse, Riot, Impatient Ventures",,2025-04-11,"USA (Boston, MA)",2Q25,2025,Autonomous warships for US Navy; emerged from stealth; Amazon Robotics/iRobot/Navy veterans,https://techcrunch.com/2025/04/11/blue-water-autonomy-comes-out-of-stealth-promising-autonomous-naval-ships/
Gecko Robotics,Robotics,Industrial Robots,Series D,130,,Founders Fund,,2025-04-15,USA (Pittsburgh),2Q25,2025,Wall-climbing inspection robots for industrial infrastructure. Used by US military and energy sector.,https://techcrunch.com
Northwood Space,Space,Ground Systems & Antennas,Series A,30,,"Alpine Space Ventures, Andreessen Horowitz","Founders Fund, Also Capital, StepStone, BoxGroup, Humba Ventures, Balerion Space, Banter Capital",2025-04-22,"USA (El Segundo, CA)",2Q25,2025,"Phased-array ground network for satellite comms; co-founded by Bridgit Mendler; 35,000 sqft facility expansion",https://spacenews.com/northwood-raises-30-million-to-establish-ground-station-network/
SandboxAQ,Semiconductors,Frontier Compute,Series E,150,950,Beyond Alpha Ventures,"BNP Paribas, Google, NVIDIA, Ray Dalio, Horizon Kinetics",2025-04-25,"USA (Palo Alto, CA)",2Q25,2025,"AI and quantum tech for biopharma, cybersecurity, materials science; spun out of Alphabet 2022",https://www.alleywatch.com/2025/05/global-startup-funding-top-largest-april-2025-vc/
Ecorobotix,Robotics,Autonomous Systems & Drones,Series C,60,,Multiple,,2025-04-25,Switzerland,2Q25,2025,"AI-powered precision spraying robots for agriculture, reducing herbicide use by 90%.",https://ecorobotix.com
Apex,Space,Satellite Communications,Series C,200,,"Point72 Ventures, 8VC","Andreessen Horowitz, Washington Harbour Partners, StepStone Group",2025-04-28,"USA (Los Angeles, CA)",2Q25,2025,Productized satellite bus manufacturing; oversubscribed 3x; $46M Space Force contract. Note: also has Sep-25 Series D entry.,https://www.prnewswire.com/news-releases/apex-raises-200-million-in-series-c-302440649.html
True Anomaly,Space,In-Orbit Services,Series C,260,,Accel,"Meritech Capital, Eclipse, Riot Ventures, Menlo Ventures, 645 Ventures, ACME Capital, Space VC, Narya",2025-04-30,"USA (Centennial, CO)",2Q25,2025,Jackal spacecraft for RPO/space domain awareness; $400M+ total raised; 4 missions in 18 months,https://spacenews.com/defense-focused-space-startup-true-anomaly-raises-260-million/
Phoenix Tailings,Materials,Rare Earths & Critical Minerals,Series B,76,,Envisioning Partners,"Escape Velocity, Builders Vision, Yamaha Motor Ventures, M Power, Presidio (Sumitomo)",2025-05-01,"USA (Woburn, MA)",2Q25,2025,"First US standalone REE refining plant; 500 tons/yr Nd-Pr, Dy, Tb; responds to China export controls",https://www.businesswire.com/news/home/20250430735778/en/Phoenix-Tailings-Closes-on-Additional-33M
Quantum Systems,Robotics,Autonomous Systems & Drones,Series C,176,1000,Balderton Capital,"HENSOLDT, Airbus Defence & Space, Bullhound Capital, HV Capital, Project A, Peter Thiel, DTCP, Omnes Capital, Airbus Ventures, Porsche SE, Notion",2025-05-06,Germany (Munich),2Q25,2025,AI-powered dual-use UAVs; NATO-deployed in Ukraine; Europe's first dual-use unicorn; acquired AirRobot Mar 2025. Note: also has Nov-25 Series C extension.,https://dronelife.com/2025/05/06/quantum-systems-raises-e160m/
RobCo,Robotics,Industrial Robots,Series B,52,,Lightspeed,,2025-05-10,Germany (Munich),2Q25,2025,Modular cobot platform for SME manufacturing. Low-code robot programming.,https://techcrunch.com
Persona AI,Robotics,Humanoid & Service Robots,Pre-Seed,27,,"Unity Growth, Tides Ventures",,2025-05-14,"USA (Houston, TX)",2Q25,2025,Humanoid robots for shipbuilding and industrial manufacturing; oversubscribed; HD Hyundai partnership,https://www.prnewswire.com/news-releases/persona-ai-raises-27m-302455330.html
Space Forge,Space,In-Orbit Services,Series A,30,,NATO Innovation Fund,"World Fund, NSSIF, British Business Bank, Cardiff Capital Region, SpaceVC, TypeOne",2025-05-14,UK (Cardiff),2Q25,2025,"In-space manufacturing of GaN, SiC, and advanced semiconductor wafer materials; ForgeStar-1 launched Jun 2025",https://techcrunch.com/2025/05/31/space-forge-raises-30m-series-a-to-make-chip-materials-in-space/
Reflect Orbital,Space,Satellite Communications,Series A,20,,Lux Capital,"Sequoia Capital, Starship Ventures",2025-05-14,"USA (Hawthorne, CA)",2Q25,2025,"4,000-satellite constellation to reflect sunlight on demand; 260,000+ customer applications from 157 countries",https://www.prnewswire.com/news-releases/reflect-orbital-secures-20-million-302454968.html
Zeno Power,Space,Space Components,Series B,50,,Hanaco Ventures,"Seraphim Space, Balerion Space, JAWS, Vanderbilt University, RiverPark Ventures, 7i Capital",2025-05-14,"USA (Seattle, WA)",2Q25,2025,Radioisotope power systems using Strontium-90; $60M+ in DoD/NASA contracts; nuclear satellite demo 2026,https://spacenews.com/nuclear-battery-startup-zeno-power-raises-50-million/
Cognichip,Semiconductors,EDA & IP,Seed,33,,"Lux Capital, Mayfield","FPV, Candou Ventures",2025-05-15,"USA (Redwood City, CA)",2Q25,2025,Physics-informed AI foundation model for chip design; Artificial Chip Intelligence; emerged from stealth,https://techcrunch.com/2025/05/15/cognichip-emerges-from-stealth/
Solestial,Space,Space Components,Series A,17,,AE Ventures,"Crosscut Ventures, Zeon Ventures, Mitsubishi Electric Innovation Fund, Airbus Ventures, Industrious Ventures",2025-05-15,"USA (Tempe, AZ)",2Q25,2025,Silicon space solar cells with self-healing radiation tolerance; targeting 1MW/yr production,https://www.prnewswire.com/news-releases/solestial-announces-17m-series-a-302455684.html
Dexory,Robotics,Warehouse & Logistics,Series C,165,,Multiple,,2025-05-15,UK (London),2Q25,2025,Autonomous warehouse scanning robots creating digital twins of logistics facilities.,https://techcrunch.com
Contoro Robotics,Robotics,Warehouse & Logistics,Seed,20,,Multiple,,2025-05-20,USA,2Q25,2025,AI-powered palletizing and depalletizing robots for distribution centers.,https://techcrunch.com
ClearSpace,Space,In-Orbit Services,Government,95,,ESA,,2025-06-01,Switzerland (Renens),2Q25,2025,First-ever active debris removal mission funded by ESA; targeting deorbiting from ~800km altitude.,https://esa.int
Zap Energy,Materials,Structural Materials,Other,130,,Undisclosed,,2025-06-01,"USA (Everett, WA)",2Q25,2025,Z-pinch fusion; DOE Milestone-Based Fusion Development Program participant.,https://fusionindustryassociation.org
Infleqtion,Semiconductors,Fabless Design,Series C,100,1800,"Glynn Capital, Morgan Stanley Counterpoint","S32, SAIC, In-Q-Tel, Axial, Maverick, NSSIF, Breakthrough Victoria",2025-06-02,"USA (Boulder, CO)",2Q25,2025,Neutral-atom quantum computing + atomic clock sensing; $30M revenue; DoD & NASA deployments,https://infleqtion.com/infleqtion-raises-100m/
Anduril Industries,Robotics,Autonomous Systems & Drones,Series G,2500,30500,Founders Fund ($1B),Other existing and new investors,2025-06-02,"USA (Costa Mesa, CA)",2Q25,2025,Arsenal-1 autonomous weapons factory; AI-powered defense platforms; largest Founders Fund check ever,https://news.crunchbase.com/venture/biggest-funding-rounds-defense-space-anduril-impulse/
Neuralink,Robotics,Machine Vision & Sensors,Series E,650,9000,,"ARK Invest, DFJ Growth, Founders Fund, G42, Human Capital, Lightspeed, QIA, Sequoia Capital, Thrive Capital, Valor Equity, Vy Capital",2025-06-02,"USA (Fremont, CA)",2Q25,2025,N1 brain chip; 5 paralysis patients implanted; R1 surgical robot; FDA Breakthrough Device for speech restoration,https://neuralink.com/updates/neuralink-raises-650m-series-e/
Impulse Space,Space,Launch,Series C,300,,Linse Capital,,2025-06-03,"USA (Redondo Beach, CA)",2Q25,2025,Space tugs (Mira + Helios vehicles); total funding $525M; founded by ex-SpaceX Tom Mueller,https://news.crunchbase.com/venture/biggest-funding-rounds-defense-space-anduril-impulse/
Speedata,Semiconductors,Fabless Design,Series B,44,,Walden Catalyst Ventures (Lip-Bu Tan),"83North, Koch Disruptive Technologies, Pitango First, Viola Ventures",2025-06-03,Israel (Tel Aviv),2Q25,2025,First-ever Analytics Processing Unit (APU); Callisto chip; 280x faster analytics vs CPU,https://techcrunch.com/2025/06/03/speedata-a-chip-startup-competing-with-nvidia-raises-a-44m-series-b/
Standard Nuclear,Materials,Structural Materials,Seed,42,,Decisive Point,"Andreessen Horowitz, Washington Harbour Partners, Welara, Fundomo, Crucible Capital",2025-06-10,"USA (Oak Ridge, TN)",2Q25,2025,TRISO nuclear fuel for advanced reactors; emerged from Ultra Safe Nuclear Corp. assets,https://www.businesswire.com/news/home/20250610455936/en/Standard-Nuclear-Emerges-from-Stealth/
Cyclic Materials,Materials,Rare Earths & Critical Minerals,Undisclosed,25,,"Amazon, Microsoft","ArcTern Ventures, Energy Impact Partners",2025-06-11,"Canada (Kingston, ON)",2Q25,2025,North America's first REE recycling Centre of Excellence; REEPure technology; 500 t/year from EV+wind magnets,https://www.businesswire.com/news/home/20250611186175/en/Cyclic-Materials-Announces-USD-25M/
Proxima Fusion,Materials,Structural Materials,Series A,150,,"Cherry Ventures, Balderton Capital","UVC Partners, DTCF, Plural, Leitmotif, Lightspeed, Bayern Kapital, HTGF, OMNES Capital, Elaia, redalpine",2025-06-11,Germany (Munich),2Q25,2025,Europe's largest private fusion investment; stellarator design; Max Planck IPP spinout,https://www.cnbc.com/2025/06/11/nuclear-fusion-proxima-raises-148-million-in-record-funding-round.html
Skild AI,Robotics,Software & Simulation,Series B,135,4500,SoftBank Group,"NVIDIA ($25M), Samsung ($10M), LG, Hanwha, Mirae Asset",2025-06-12,"USA (Pittsburgh, PA)",2Q25,2025,Robot-agnostic foundation model; preceded $1.4B round in Jan 2026. Note: also has Jan-26 Series C entry.,https://www.bloomberg.com/news/articles/2025-06-12/nvidia-samsung-plan-investments-in-robotics-startup-skild-ai
Xcimer Energy,Materials,Structural Materials,Series A,100,,Hedosophia,,2025-06-15,USA (Denver),2Q25,2025,Inertial confinement fusion via excimer lasers; Phoenix prototype targeted 2026.,https://xcimer.energy
Applied Intuition,Robotics,Software & Simulation,Series F,600,15000,"BlackRock, Kleiner Perkins","Franklin Templeton, QIA, Abu Dhabi Investment Council, Premji Invest, Stripes, Greycroft, General Catalyst, Fidelity, Lux",2025-06-17,"USA (Sunnyvale, CA)",2Q25,2025,Vehicle intelligence for automotive + defense; 18 of top 20 OEMs as customers; EpiSci acquisition,https://techcrunch.com/2025/06/17/applied-intuition-raises-600-million/
Helsing,Robotics,Autonomous Systems & Drones,Series D,692,13800,Prima Materia (Daniel Ek),"Lightspeed, Accel, Plural, General Catalyst, SAAB, BDT & MSD Partners",2025-06-17,Germany (Munich),2Q25,2025,AI battlefield management (Altra); Europe's most valuable defense AI co; Daniel Ek as Chairman,https://helsing.ai/newsroom/helsing-raises-eur600m/
Eutelsat,Space,Satellite Communications,Undisclosed,1550,,French State (APE),"Bharti Space, CMA CGM, FSP",2025-06-19,France (Paris),2Q25,2025,Starlink rival; OneWeb constellation; IRIS2 sovereign broadband; France doubled stake to ~30%,https://spacenews.com/french-government-to-lead-eutelsats-1-56-billion-capital-boost/
Infravision,Robotics,Autonomous Systems & Drones,Series B,100,,Multiple,,2025-06-20,UK,2Q25,2025,AI-powered infrastructure inspection drones for energy and utilities sector.,https://techcrunch.com
ForSight Robotics,Robotics,Surgical & Medical Robots,Series B,125,500,Eclipse Ventures,"Adani Group, Reiya Ventures, Fred Moll",2025-06-24,Israel (Yokneam Illit),2Q25,2025,Ophthalmic robotic surgery (ORYOM platform); total funding $195M; FDA trials underway,https://www.businesswire.com/news/home/20250624465565/en/ForSight-Robotics-Secures-$125M
SwarmFarm,Robotics,Autonomous Systems & Drones,Series A,18,,Multiple,,2025-06-25,Australia,2Q25,2025,"Autonomous farming robot swarms for broadacre agriculture, operating across Australian farms.",https://swarmfarm.com
LIDROTEC,Semiconductors,Equipment,Series A,13.5,,"Lam Capital (Lam Research), Goose Capital","ZEISS Ventures, NRW.BANK",2025-06-26,Germany (Bochum),2Q25,2025,"Laser wafer dicing with liquid-cooling; higher yields for power electronics, photonics, advanced packaging",https://tech.eu/2025/06/26/lidrotec-lands-135m/
Skynopy,Space,Ground Systems & Antennas,Series A,17,,Alven,"Omnes, Expansion, CNES/SpaceFounders, Heartcore",2025-06-30,France (Paris),2Q25,2025,Real-time LEO ground network; S/X/Ka bands; 15 antennas; AWS partnership; targets 100+ antennas by 2028,https://www.eu-startups.com/2025/06/french-spacetech-skynopy-raises-e15-million/
Genesis AI,Robotics,Software & Simulation,Seed,105,,"Eclipse Ventures, Khosla Ventures","Bpifrance, HSG, Eric Schmidt, Xavier Niel, HongShan",2025-07-01,"USA (Palo Alto, CA)",3Q25,2025,Universal robotics foundation model; synthetic data + physics engine; CMU + Mistral co-founders; largest European-linked robotics seed,https://techcrunch.com/2025/07/01/genesis-ai-launches-with-105m-seed-funding-from-eclipse-khosla-to-build-ai-models-for-robots/
Civ Robotics,Robotics,Industrial Robots,Series A,7.5,,AlleyCorp,"Bobcat Company, ff Venture Capital",2025-07-01,"USA (San Francisco, CA)",3Q25,2025,CivDot autonomous layout robot; 8mm survey accuracy; total raised $12.5M,https://www.enr.com/articles/60976-automated-layout-startup-civ-robotics-secures-75m-series-a-funding-round
Nordic Air Defence,Robotics,Autonomous Systems & Drones,Pre-Seed,3,,Inflection,SNO Ventures,2025-07-03,Sweden (Stockholm),3Q25,2025,Kreuger 100 drone interceptor; 10x cheaper per unit than missiles via software substitution,https://tech.eu/2025/07/03/inflection-leads-3m-investment-in-nordic-air-defences-anti-drone-platform/
Robot Era,Token,Humanoid & Service Robots,Series A,69,,"CDH Investments, Haier Capital","Houxue Capital, Meridian Capital, Xianghe Capital, Crystal Stream Capital, Tsinghua Holdings",2025-07-08,China (Beijing),3Q25,2025,Tsinghua spinout; STAR1 + L7 bipedal humanoids; ERA-42 AI brain; 200+ robots delivered,https://www.caixinglobal.com/2025-07-08/humanoid-robotics-startup-robot-era-secures-69-million-series-a-funding-102338987.html
Arago,Semiconductors,Frontier Compute,Seed,26,,"Earlybird Venture Capital, Protagonist, Visionaries Tomorrow","Generative IQ, C4 Ventures, Bertrand Serlet (ex-Apple VP), Christophe Frey (Arm), Olivier Pomel (Datadog), Thomas Wolf (Hugging Face)",2025-07-08,France (Paris),3Q25,2025,"Developing photonic AI accelerator 'JEF' that processes data using lasers instead of transistors. Claims same performance as top GPUs at 10x less energy, fully compatible with existing AI software frameworks.",https://tech.eu/2025/07/08/arago-raises-26m-to-slash-ai-energy-consumption-with-breakthrough-photonic-chip/
